Track,Artist,Album,Date Added,Spotify URI
Cosmic Cave,Ex Hex,Cosmic Cave,2019-01-11T00:54:44Z,https://open.spotify.com/track/4jYREYvxXkVKnDv7y1A8yo
Cry Now Cry Later,Harlem,Cry Now Cry Later,2019-01-12T06:01:09Z,https://open.spotify.com/track/1sFY7rwzjFvlTt9cTvOExd
Tell Me (Doko Mien),Ibibio Sound Machine,Tell Me (Doko Mien),2019-01-13T03:09:18Z,https://open.spotify.com/track/2ToJLZOVIS6FaR1BrtnHhN
Seventeen,Sharon Van Etten,Seventeen,2019-01-13T03:24:55Z,https://open.spotify.com/track/3buy5Ooz6uNL48W1yBUzbM
Comeback Kid,Sharon Van Etten,Comeback Kid,2019-01-13T03:29:08Z,https://open.spotify.com/track/5nUVtL9EgUDCsjZT2Hcy9H
Kamane Tarhanin,Mdou Moctar,Kamane Tarhanin,2019-01-16T03:20:47Z,https://open.spotify.com/track/1qXoAUAj2bZ3XuC7TKXXlt
Kids,PUP,Kids,2019-01-16T03:47:50Z,https://open.spotify.com/track/3B2FeobPJ5LPVdF0H40Kgf
Juice,Lizzo,Juice,2019-01-16T05:22:56Z,https://open.spotify.com/track/0onslUNmSLDkuYaideYWir
Harmony In My Head - 2001 Remastered Version,Buzzcocks,Singles Going Steady,2019-01-16T17:39:32Z,https://open.spotify.com/track/45XawIwfJvidP49VoO7hDY
Pure Water (with Migos),Mustard Migos,Pure Water (with Migos),2019-01-18T01:19:43Z,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
Blue Wings,Wild Nothing,Blue Wings,2019-01-18T03:41:19Z,https://open.spotify.com/track/1pjk1YeB0mqdBcrACV3b5C
Heels,sir_babygirl,Heels,2019-01-18T03:46:18Z,https://open.spotify.com/track/6OidmZQVWYChfMKNhmeBUQ
Licking An Orchid,Yves Tumor James K,Safe In The Hands of Love,2019-01-18T03:52:26Z,https://open.spotify.com/track/3pihS07XVQEavaS9n7kObt
new breed,Dawn Richard,new breed,2019-01-18T03:58:30Z,https://open.spotify.com/track/4AcR2uitSX1LjxY49DVEtl
Selfish,Little Simz Cleo Sol,Selfish,2019-01-18T04:07:44Z,https://open.spotify.com/track/5OhkVfh9tiZ5MmK60sqkKt
Just The Same,Empress Of,Us,2019-01-18T04:45:53Z,https://open.spotify.com/track/0th4T1Qdnf52KtDgdaHbT3
Newman,BloodPop®,Newman,2019-01-18T04:55:12Z,https://open.spotify.com/track/4ByNgxRB6LdIdNcN594U4Q
When I'm With Him,Empress Of,Us,2019-01-18T05:12:03Z,https://open.spotify.com/track/4vBlxgG7iM8WwjLMHKpNkm
Racing Race,Flashguns,Passions Of A Different Kind,2019-01-19T03:41:39Z,https://open.spotify.com/track/7DsKLtDS8s6jezgxynu3ah
Exits - Edit,Foals,Exits,2019-01-22T01:45:27Z,https://open.spotify.com/track/2XZRWWl9l6I9SWwkV8JIcc
New Brighton (feat. ANOHNI),Nakhane Anohni,New Brighton (feat. ANOHNI),2019-01-23T04:37:23Z,https://open.spotify.com/track/2YThnoRP3m072ODjiWiaN6
Interloper,Nakhane,New Brighton (feat. ANOHNI),2019-01-23T04:38:43Z,https://open.spotify.com/track/4BiXifVMTAFkwH0f0lvwNb
Selfie of a Man,Delicate Steve,Selfie of a Man,2019-01-23T04:53:46Z,https://open.spotify.com/track/5nJEb3vqft2XaKw4mPutOO
Friday On My Mind,The Easybeats,Easy,2019-01-23T06:15:19Z,https://open.spotify.com/track/2CT08rpgdut8qQs7IAzMGi
