"id","created_at","artists","album","title","spotify_id","album_art","isrc_id","apple_music_id","apple_music_url",bandcamp_url,bandcamp_id,bandcamp_can_stream
"1","2020-02-24 02:16:51.856814+00","{""Lynyrd Skynyrd""}","Pronounced' Leh-'Nerd 'Skin-'Nerd","Free Bird","5EWPGh7jbTNO2wakv8LjUI","https://i.scdn.co/image/a30e6162907f82794bd32351ca8a8e0c6b91d8f5",,,,,,
"6","2017-01-17 21:43:09.414925+00","{Buscabulla,""Helado Negro""}","Frío (feat. Helado Negro)","Frío (feat. Helado Negro)","3hjBsjNmm2fFCggCtP5hJx","https://i.scdn.co/image/e9ee68a74f3930e18237b3a53953820f1a2d9a5f",,,,,,
"59","2019-02-13 19:08:43+00","{Change}","Late Night Tales Presents Automatic Soul (Selected and Mixed by Groove Armada's Tom Findlay)","Change of Heart","1N2UepkGvA68qocr5oyMpS",,,,,,,
"60","2019-02-14 00:10:06+00","{""Charlotte Adigéry""}","Zandoli","High Lights","23j0M15gvfh7V3S9XOuRPH",,,,,,,
"3","2020-02-24 02:16:51.9008+00","{Incubus}","Make Yourself","Drive","7nnWIPM5hwE3DaUBkvOIpy","https://i.scdn.co/image/c002bd0cd798e8cb5873e3513a987287c2993bea",,,,,,
"4","2017-01-12 21:44:26.642494+00","{""Guerilla Toss""}","Eraser Stargazer","Diamond Girls","4sxikSNTEKjvpdupyxxjGL","https://i.scdn.co/image/327c4479345a3db7d0f3fbd5352e778473eea4eb",,,,,,
"7","2019-01-11 00:54:44+00","{""Ex Hex""}","Cosmic Cave","Cosmic Cave","4jYREYvxXkVKnDv7y1A8yo",,,,,,,
"8","2019-01-12 06:01:09+00","{Harlem}","Cry Now Cry Later","Cry Now Cry Later","1sFY7rwzjFvlTt9cTvOExd",,,,,,,
"9","2019-01-13 03:09:18+00","{""Ibibio Sound Machine""}","Tell Me (Doko Mien)","Tell Me (Doko Mien)","2ToJLZOVIS6FaR1BrtnHhN",,,,,,,
"10","2019-01-13 03:24:55+00","{""Sharon Van Etten""}","Seventeen","Seventeen","3buy5Ooz6uNL48W1yBUzbM",,,,,,,
"11","2019-01-13 03:29:08+00","{""Sharon Van Etten""}","Comeback Kid","Comeback Kid","5nUVtL9EgUDCsjZT2Hcy9H",,,,,,,
"12","2019-01-16 03:20:47+00","{""Mdou Moctar""}","Kamane Tarhanin","Kamane Tarhanin","1qXoAUAj2bZ3XuC7TKXXlt",,,,,,,
"13","2019-01-16 03:47:50+00","{PUP}","Kids","Kids","3B2FeobPJ5LPVdF0H40Kgf",,,,,,,
"14","2019-01-16 05:22:56+00","{Lizzo}","Juice","Juice","0onslUNmSLDkuYaideYWir",,,,,,,
"15","2019-01-16 17:39:32+00","{Buzzcocks}","Singles Going Steady","Harmony In My Head - 2001 Remastered Version","45XawIwfJvidP49VoO7hDY",,,,,,,
"16","2019-01-18 01:19:43+00","{""Mustard Migos""}","Pure Water (with Migos)","Pure Water (with Migos)","63cd4JkwGgYJrbOizbfmsp",,,,,,,
"17","2019-01-18 03:41:19+00","{""Wild Nothing""}","Blue Wings","Blue Wings","1pjk1YeB0mqdBcrACV3b5C",,,,,,,
"18","2019-01-18 03:46:18+00","{sir_babygirl}","Heels","Heels","6OidmZQVWYChfMKNhmeBUQ",,,,,,,
